krok,start,end,czas_trwania,wartośc,mediana,std,n
1,2025-12-08 19:50:00.423287,2025-12-08 19:56:33.093081,392.669794,-2.1715039577836412,-2.0,0.3769487368969263,379
2,2025-12-08 19:56:54.845774,2025-12-08 20:08:24.881573,690.035799,218.9984984984985,219.0,0.03872011098566855,666
3,2025-12-08 20:08:46.642677,2025-12-08 20:17:00.894929,494.252252,307.31236897274636,307.0,0.4634593807570767,477
4,2025-12-08 20:17:09.182889,2025-12-08 20:24:58.534162,469.351273,388.8830022075055,389.0,0.32141765515587273,453
5,2025-12-08 20:25:03.722477,2025-12-08 20:32:41.706589,457.984112,450.0180995475113,450.0,0.1333114919697397,442
6,2025-12-08 20:32:48.954115,2025-12-08 20:40:56.886526,487.932411,517.6029723991508,518.0,0.48928180531585275,471
7,2025-12-08 20:41:03.103150,2025-12-08 20:49:02.831197,479.728047,583.9935205183585,584.0,0.0802340199611521,463
8,2025-12-08 20:49:10.082811,2025-12-08 20:56:22.094478,432.011667,646.0023980815348,646.0,0.04891145816395957,417
9,2025-12-08 20:56:30.385008,2025-12-08 21:02:34.016866,363.631858,712.008547008547,712.0,0.09205409926725648,351
10,2025-12-08 21:02:44.378541,2025-12-08 21:09:11.917870,387.539329,789.9973262032086,790.0,0.05163959335782878,374
11,2025-12-08 21:09:21.245624,2025-12-08 21:14:32.032670,310.787046,883.0466666666666,883.0,0.21092389359408498,300
12,2025-12-08 21:14:54.819227,2025-12-08 21:20:39.821217,345.00199,1099.2672672672672,1099.0,0.4425330214964238,333
